B. Pierce,RB,Bal,11,0,0,716,4.2,181,0.4,0,0,2
L. Green,TE,SD,10,0,0,0,0,609,4.5,0,0,0.6
D. McFadden,RB,Oak,5,0,0,574,4.3,268,0.9,99.4,0,1.8
A. Dobson,WR,NE,10,0,0,0,0,662,4.8,0,0,0.6
L. Miller,RB,Mia,5,0,0,960,4.9,202,0.7,0,0,2.3
K. BenjaVikings,WR,Car,12,0,0,11,0,848,5.2,0,0,0.8
R. Helu Jr.,RB,Was,10,0,0,229,2.3,290,0.8,0,0,1.5
C. Clay,TE,Mia,5,0,0,18.9,0,621,4.9,0,0,0.3
S. Smith Sr.,WR,Bal,11,0,0,0,0,674,3.8,0,0,0.3
M. Wheaton,WR,Pit,12,0,0,10.9,0,856,5.7,80.1,0,0.8
E. Manning,QB,NYG,8,4276,22.1,41.7,0.4,0,0,0,0,8
J. Manziel,QB,Cle,4,3533,20.3,520,2.6,0,0,0,0,8.5
M. Ingram,RB,NO,6,0,0,616,3.5,170,0.8,0,0,1.7
K. Stills,WR,NO,6,0,0,11,0,766,4.9,0,0,0.6
J. McCown,QB,TB,7,2869,14.7,90.8,0.5,0,0,0,0,5.2
C. Palmer,QB,Ari,4,4011,22.4,46.6,1.1,0,0,0,0,6.8
C. Hyde,RB,SF,8,0,0,484,5.3,53.4,0.2,96,0,1.6
J. Stewart,RB,Car,12,0,0,493,3.5,120,0.3,0,0,2
A. Brown,RB,Hou,10,0,0,0,0,0,0,0,0,0
T. Eifert,TE,Cin,4,0,0,0,0,451,3.7,0,0,0.5
B. Hartline,WR,Mia,5,0,0,0,0,912,4.1,0,0,0.5
O. Beckham Jr.,WR,NYG,8,-,-,-,-,-,-,-,-,-
S. Johnson,WR,SF,8,0,0,0,0,423,3.3,0,0,0.5
A. Smith,QB,KC,6,3923,22.4,360,0.9,0,0,0,0,7.6
J. Hunter,WR,Ten,9,0,0,10.9,0,800,5.8,0,0,0.6
G. Jennings,WR,Vikings,10,0,0,0,0,912,4.8,0,0,0.5
D. Walker,TE,Ten,9,0,0,0,0,609,5.6,0,0,0.8
R. Woods,WR,Buf,9,0,0,13.4,0,646,3.1,32.9,0,0.6
J. Gordon,WR,Cle,4,0,0,0,0,0,0,0,0,0
J. Hill,RB,Cin,4,0,0,686,6.9,62.7,0.3,0,0,2.3
H. Miller,TE,Pit,12,0,0,0,0,652,4.9,0,0,0.9
D. Baldwin,WR,Sea,4,0,0,11.9,0,711,4.7,304,0.1,0.3
J. Boykin,WR,GB,9,0,0,0,0,761,5,0,0,0.8
K. Robinson,RB,NO,6,0,0,411,2.3,84.2,0.3,0,0,0.7
T. Mason,RB,StL,4,-,-,-,-,-,-,-,-,-
